GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC48,HC01_VC92,HC03_VC92,HC01_VC93,HC03_VC93
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Estimate; RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
8600000US00741,741,ZCTA5 00741,5168,5168,5168,5168,5168,100
8600000US00745,745,ZCTA5 00745,52624,52624,52624,52624,52345,99.5
8600000US00751,751,ZCTA5 00751,22174,22174,22174,22174,22071,99.5
8600000US00754,754,ZCTA5 00754,38636,38636,38636,38636,38605,99.9
8600000US00757,757,ZCTA5 00757,22475,22475,22475,22475,22394,99.6
8600000US00765,765,ZCTA5 00765,8721,8721,8721,8721,8336,95.6
8600000US00766,766,ZCTA5 00766,23931,23931,23931,23931,23865,99.7
8600000US00767,767,ZCTA5 00767,35042,35042,35042,35042,35006,99.9
8600000US00769,769,ZCTA5 00769,39605,39605,39605,39605,39408,99.5
8600000US00771,771,ZCTA5 00771,37705,37705,37705,37705,37566,99.6
8600000US00772,772,ZCTA5 00772,20784,20784,20784,20784,20778,100
8600000US00773,773,ZCTA5 00773,18952,18952,18952,18952,18608,98.2
8600000US00775,775,ZCTA5 00775,1480,1480,1480,1480,1354,91.5
8600000US00777,777,ZCTA5 00777,40611,40611,40611,40611,40352,99.4
8600000US00778,778,ZCTA5 00778,46852,46852,46852,46852,46134,98.5
8600000US00780,780,ZCTA5 00780,11679,11679,11679,11679,11548,98.9
8600000US00782,782,ZCTA5 00782,18196,18196,18196,18196,18135,99.7
8600000US00783,783,ZCTA5 00783,34240,34240,34240,34240,33904,99
8600000US00784,784,ZCTA5 00784,41417,41417,41417,41417,41024,99.1
8600000US00786,786,ZCTA5 00786,249,249,249,249,249,100
8600000US00791,791,ZCTA5 00791,49551,49551,49551,49551,48756,98.4
8600000US00794,794,ZCTA5 00794,29296,29296,29296,29296,29293,100
8600000US00795,795,ZCTA5 00795,45573,45573,45573,45573,45485,99.8
8600000US00901,901,ZCTA5 00901,6540,6540,6540,6540,6188,94.6
8600000US00906,906,ZCTA5 00906,91,91,91,91,91,100
8600000US00907,907,ZCTA5 00907,16819,16819,16819,16819,15963,94.9
8600000US00909,909,ZCTA5 00909,5430,5430,5430,5430,5384,99.2
8600000US00911,911,ZCTA5 00911,7617,7617,7617,7617,7009,92
8600000US00912,912,ZCTA5 00912,5920,5920,5920,5920,5822,98.3
8600000US00913,913,ZCTA5 00913,8495,8495,8495,8495,8429,99.2
8600000US00915,915,ZCTA5 00915,27534,27534,27534,27534,27286,99.1
8600000US00917,917,ZCTA5 00917,18316,18316,18316,18316,18139,99
8600000US00918,918,ZCTA5 00918,16595,16595,16595,16595,16459,99.2
8600000US00920,920,ZCTA5 00920,16698,16698,16698,16698,16520,98.9
8600000US00921,921,ZCTA5 00921,35161,35161,35161,35161,34819,99
8600000US00923,923,ZCTA5 00923,24754,24754,24754,24754,24496,99
8600000US00924,924,ZCTA5 00924,51699,51699,51699,51699,50811,98.3
8600000US00925,925,ZCTA5 00925,6796,6796,6796,6796,6523,96
8600000US00926,926,ZCTA5 00926,99106,99106,99106,99106,97912,98.8
8600000US00927,927,ZCTA5 00927,13503,13503,13503,13503,13020,96.4
8600000US00934,934,ZCTA5 00934,25,25,25,25,0,0
8600000US00936,936,ZCTA5 00936,749,749,749,749,734,98
8600000US00949,949,ZCTA5 00949,76058,76058,76058,76058,75467,99.2
8600000US00950,950,ZCTA5 00950,0,0,0,0,0,-
8600000US00951,951,ZCTA5 00951,0,0,0,0,0,-
8600000US00952,952,ZCTA5 00952,8467,8467,8467,8467,8432,99.6
8600000US00953,953,ZCTA5 00953,72608,72608,72608,72608,71974,99.1
8600000US00956,956,ZCTA5 00956,68452,68452,68452,68452,67946,99.3
8600000US00957,957,ZCTA5 00957,40738,40738,40738,40738,40427,99.2
8600000US00959,959,ZCTA5 00959,47849,47849,47849,47849,47403,99.1
8600000US00960,960,ZCTA5 00960,2454,2454,2454,2454,2415,98.4
8600000US00961,961,ZCTA5 00961,31017,31017,31017,31017,30639,98.8
8600000US00962,962,ZCTA5 00962,19864,19864,19864,19864,19716,99.3
8600000US00965,965,ZCTA5 00965,7659,7659,7659,7659,7634,99.7
8600000US00966,966,ZCTA5 00966,16169,16169,16169,16169,15984,98.9
8600000US00968,968,ZCTA5 00968,3368,3368,3368,3368,3288,97.6
8600000US00969,969,ZCTA5 00969,43216,43216,43216,43216,42189,97.6
8600000US00971,971,ZCTA5 00971,27449,27449,27449,27449,27301,99.5
8600000US00976,976,ZCTA5 00976,60134,60134,60134,60134,59657,99.2
8600000US00979,979,ZCTA5 00979,15203,15203,15203,15203,14099,92.7
8600000US00982,982,ZCTA5 00982,14514,14514,14514,14514,14463,99.6
8600000US00983,983,ZCTA5 00983,36687,36687,36687,36687,36346,99.1
8600000US00985,985,ZCTA5 00985,32750,32750,32750,32750,32636,99.7
8600000US00987,987,ZCTA5 00987,58583,58583,58583,58583,58217,99.4
8600000US01001,1001,ZCTA5 01001,17537,17537,17537,17537,1152,6.6
8600000US01002,1002,ZCTA5 01002,30280,30280,30280,30280,1921,6.3
8600000US01003,1003,ZCTA5 01003,11131,11131,11131,11131,594,5.3
8600000US01005,1005,ZCTA5 01005,5014,5014,5014,5014,87,1.7
8600000US01007,1007,ZCTA5 01007,14906,14906,14906,14906,193,1.3
8600000US01008,1008,ZCTA5 01008,1272,1272,1272,1272,6,0.5
8600000US01009,1009,ZCTA5 01009,384,384,384,384,0,0
8600000US01010,1010,ZCTA5 01010,3724,3724,3724,3724,93,2.5
8600000US01011,1011,ZCTA5 01011,1507,1507,1507,1507,40,2.7
8600000US01012,1012,ZCTA5 01012,531,531,531,531,4,0.8
8600000US01013,1013,ZCTA5 01013,23026,23026,23026,23026,6068,26.4
8600000US01020,1020,ZCTA5 01020,30148,30148,30148,30148,4748,15.7
8600000US01022,1022,ZCTA5 01022,2604,2604,2604,2604,248,9.5
8600000US01026,1026,ZCTA5 01026,958,958,958,958,22,2.3
8600000US01027,1027,ZCTA5 01027,17870,17870,17870,17870,953,5.3
8600000US01028,1028,ZCTA5 01028,16156,16156,16156,16156,377,2.3
8600000US01029,1029,ZCTA5 01029,728,728,728,728,4,0.5
8600000US01030,1030,ZCTA5 01030,11211,11211,11211,11211,835,7.4
8600000US01031,1031,ZCTA5 01031,1151,1151,1151,1151,10,0.9
8600000US01032,1032,ZCTA5 01032,551,551,551,551,12,2.2
8600000US01033,1033,ZCTA5 01033,6300,6300,6300,6300,394,6.3
8600000US01034,1034,ZCTA5 01034,2313,2313,2313,2313,42,1.8
8600000US01035,1035,ZCTA5 01035,5301,5301,5301,5301,271,5.1
8600000US01036,1036,ZCTA5 01036,5193,5193,5193,5193,167,3.2
8600000US01037,1037,ZCTA5 01037,772,772,772,772,54,7
8600000US01038,1038,ZCTA5 01038,2897,2897,2897,2897,13,0.4
8600000US01039,1039,ZCTA5 01039,1129,1129,1129,1129,36,3.2
8600000US01040,1040,ZCTA5 01040,40362,40362,40362,40362,20652,51.2
8600000US01050,1050,ZCTA5 01050,2334,2334,2334,2334,20,0.9
8600000US01053,1053,ZCTA5 01053,1658,1658,1658,1658,72,4.3
8600000US01054,1054,ZCTA5 01054,1997,1997,1997,1997,24,1.2
8600000US01056,1056,ZCTA5 01056,21331,21331,21331,21331,1671,7.8
8600000US01057,1057,ZCTA5 01057,8801,8801,8801,8801,132,1.5
8600000US01060,1060,ZCTA5 01060,15729,15729,15729,15729,1311,8.3
8600000US01062,1062,ZCTA5 01062,10587,10587,10587,10587,1046,9.9
8600000US01063,1063,ZCTA5 01063,574,574,574,574,46,8
8600000US01066,1066,ZCTA5 01066,9,9,9,9,0,0
8600000US01068,1068,ZCTA5 01068,1849,1849,1849,1849,55,3
8600000US01069,1069,ZCTA5 01069,8919,8919,8919,8919,335,3.8
8600000US01070,1070,ZCTA5 01070,637,637,637,637,20,3.1
8600000US01071,1071,ZCTA5 01071,1206,1206,1206,1206,19,1.6
8600000US01072,1072,ZCTA5 01072,1490,1490,1490,1490,72,4.8
8600000US01073,1073,ZCTA5 01073,6090,6090,6090,6090,7,0.1
8600000US01074,1074,ZCTA5 01074,477,477,477,477,0,0
8600000US01075,1075,ZCTA5 01075,17755,17755,17755,17755,1014,5.7
8600000US01077,1077,ZCTA5 01077,9711,9711,9711,9711,23,0.2
8600000US01079,1079,ZCTA5 01079,480,480,480,480,66,13.8
8600000US01080,1080,ZCTA5 01080,2532,2532,2532,2532,118,4.7
8600000US01081,1081,ZCTA5 01081,1827,1827,1827,1827,50,2.7
8600000US01082,1082,ZCTA5 01082,10637,10637,10637,10637,644,6.1
8600000US01083,1083,ZCTA5 01083,3182,3182,3182,3182,40,1.3
8600000US01084,1084,ZCTA5 01084,183,183,183,183,23,12.6
8600000US01085,1085,ZCTA5 01085,41652,41652,41652,41652,3453,8.3
8600000US01086,1086,ZCTA5 01086,683,683,683,683,30,4.4
8600000US01088,1088,ZCTA5 01088,399,399,399,399,6,1.5
8600000US01089,1089,ZCTA5 01089,28671,28671,28671,28671,2829,9.9
8600000US01092,1092,ZCTA5 01092,1133,1133,1133,1133,58,5.1
8600000US01093,1093,ZCTA5 01093,348,348,348,348,0,0
8600000US01094,1094,ZCTA5 01094,327,327,327,327,0,0
8600000US01095,1095,ZCTA5 01095,14659,14659,14659,14659,612,4.2
8600000US01096,1096,ZCTA5 01096,2607,2607,2607,2607,23,0.9
8600000US01097,1097,ZCTA5 01097,54,54,54,54,0,0
8600000US01098,1098,ZCTA5 01098,1186,1186,1186,1186,10,0.8
